source,reference,m2m100
আমার খুব জ্বর লাগছে।,मुझे बहुत बुखार सा लग रहा है.,मुझे बहुत बुखार है।
এটি একটি খুব ভাল দিন ছিল.,यह बहुत अच्छा दिन था.,यह एक बहुत अच्छा दिन था।
এটা চমৎকার এবং উষ্ণ.,यह अच्छा और गर्म है.,यह शानदार और गर्म है।
তারা অনেক বড়।,वे बहुत बड़े हैं.,वे बहुत बड़े हैं।
এটি একটি সুন্দর দৃশ্য ছিল.,यह एक सुंदर नजारा था।,यह एक सुंदर दृश्य था।
এটি একটি খুব শান্ত ঘর.,यह बहुत शांत कमरा है.,यह एक शांत घर है।
আপনি আমার সাথে খুব ভাল ব্যবহার করেছেন.,तुम मेरे प्रति बहुत अच्छे रहे हो.,आपने मेरे साथ बहुत अच्छी तरह से काम किया है।
আমাদের কাজ করার জন্য এটি খুব গরম।,हमारे लिए काम करना बहुत गर्म है।,यह हमारे काम के लिए बहुत गर्म है।
এত গরম যে আমি আমার কোট খুলে ফেললাম।,इतनी गर्मी थी कि मैंने अपना कोट उतार दिया।,यह इतना गर्म था कि मैंने अपने कटोरे को खोल दिया।
এটা এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,इतनी गर्मी थी कि हम तैरने चले गये।,यह इतना गर्म था कि हम तैरने के लिए चले गए।
এত গরম যে তার মনে হলো আইসক্রিম খাচ্ছে।,इतनी गर्मी थी कि उसे आइसक्रीम खाने का मन हुआ।,यह इतना गर्म है कि ऐसा लगता है कि वह आइसक्रीम खा रहा है।
খুব গরম তাই আমি আমার কোট খুলে ফেললাম।,बहुत गर्मी थी इसलिए मैंने अपना कोट उतार दिया।,"यह बहुत गर्म था, इसलिए मैंने अपने कटोरे को खोल दिया।"
রাতে এত গরম যে মধ্যরাত পর্যন্ত ঘুমাতে পারিনি।,रात इतनी गर्म थी कि मैं आधी रात तक सो नहीं सका।,रात इतनी गर्म थी कि मैं रात के मध्य तक सो नहीं पाई।
দিনটি এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,दिन इतना गर्म था कि हम तैरने चले गये।,दिन इतना गर्म था कि हम तैरने के लिए चले गए।
অমূল্য চীনামাটির বাসন টুকরো টুকরো হয়ে গেছে।,अमूल्य चीनी मिट्टी के बर्तन टुकड़ों में बिखर गए।,चीनी मुसलमानों की कीमत काफी कम हो गई है।
এটা সুন্দর এবং কঠিন বৃষ্টি ছিল.,अच्छी और तेज़ बारिश हो रही थी।,यह खूबसूरत और कठिन बारिश थी।
আমি সম্পূর্ণ নতুন মানুষ মনে হয়.,मैं एक बिल्कुल नये व्यक्ति जैसा महसूस कर रहा हूं।,मुझे लगता है कि मैं एक पूरी तरह से नया आदमी है।
আমি খুব মুগ্ধ.,मैं बहुत प्रभावित हूं.,मैं बहुत रोमांचक हूँ।
আমি সরানো ছিল.,में हिल गया था।,मैं चली गई थी।
আমি সত্যিই আপনার কাজের প্রশংসা.,मैं सचमुच आपके कार्य की सराहना करता हूं।,मैं वास्तव में आपके काम की प्रशंसा करता हूं।
খুব ঠাণ্ডা থাকায় বাইরে যাইনি।,मैं बाहर नहीं गया क्योंकि बहुत ठंड थी।,बहुत ठंडा होने के कारण मैं बाहर नहीं गया।
এত ঠান্ডা যে আমরা আগুন জ্বালালাম।,इतनी ठंड थी कि हमने आग जलाई।,यह इतना ठंडा था कि हमने आग जला दी।
এত ঠাণ্ডা যে কেউ বাইরে যেতে চাইছিল না।,इतनी ठंड थी कि कोई भी बाहर जाना नहीं चाहता था।,इतना ठंडा था कि कोई भी बाहर नहीं जाना चाहता था।
এত ঠান্ডা যে ঘুমাতে পারছিলাম না।,इतनी ठंड थी कि मैं सो नहीं सका।,इतना ठंडा था कि मैं सो नहीं पाया।
এত ঠান্ডা যে সারাদিন ঘরেই ছিলাম।,इतनी ठंड थी कि मैं सारा दिन घर पर ही रहा।,यह इतना ठंडा था कि मैं पूरे दिन घर में रहता था।
আমার খুব ঠান্ডা লাগছে।,मुझे बहुत ठंड लग रही है.,मुझे बहुत ठंडा महसूस होता है।
আমি সত্যিই এটা অনেক উপভোগ.,मैंने सचमुच बहुत आनंद उठाया।,मैं वास्तव में इसका बहुत आनंद लेता हूं।
আমি একটি চমৎকার সময় ছিল.,मैंने बहुत अच्छा वक्त बिताया।,मैं एक अद्भुत समय था।
এটি একটি খুব মনোরম বিকেল ছিল.,वह बहुत ही सुखद दोपहर थी।,यह एक बहुत ही सुखद दोपहर था।
সেখানে খুব অন্ধকার ছিল।,वहाँ बहुत अँधेरा था.,वहां बहुत अंधेरा था।
এটা আমার পড়ার জন্য খুব অন্ধকার.,मेरे पढ़ने के लिए बहुत अंधेरा है।,यह पढ़ने के लिए बहुत अंधेरा है।
এটা সত্যিই সস্তা ছিল.,यह सचमुच सस्ता था।,यह वास्तव में सस्ता था।
আমি এমন একজন মানুষকে সাহায্য করতে অক্ষম।,मैं ऐसे आदमी की मदद करने में असमर्थ हूं।,मैं किसी ऐसे व्यक्ति की मदद करने में असमर्थ हूं।
একটি খুব সুদর্শন রাজপুত্র একটি ব্যতিক্রমী সুন্দর রাজকুমারীর সাথে দেখা করেছিলেন।,एक बहुत सुन्दर राजकुमार की मुलाकात एक असाधारण सुन्दर राजकुमारी से हुई।,एक बहुत ही सुंदर राजकुमार ने एक असाधारण सुंदर राजकुमारी से मुलाकात की।
আমার খুব ঠান্ডা লাগছে।,मुझे बहुत ठंड लग रही है.,मुझे बहुत ठंडा महसूस होता है।
আমি সম্ভবত এটি পরিচালনা করতে পারি না।,मैं संभवतः इसका प्रबंध नहीं कर सकता।,मैं शायद इसे प्रबंधित नहीं कर सकता।
