source,reference,mbart50
मुझे बहुत बुखार सा लग रहा है.,నాకు చాలా జ్వరంగా అనిపిస్తుంది.,నేను చాలా बुखारी भासడం.
यह बहुत अच्छा दिन था.,ఇది చాలా మంచి రోజు.,ఇది చాలా మంచి రోజు.
यह अच्छा और गर्म है.,ఇది బాగుంది మరియు వెచ్చగా ఉంది.,ఇది మంచి మరియు వేడి.
वे बहुत बड़े हैं.,అవి చాలా పెద్దవి.,వారు చాలా పెద్ద.
यह एक सुंदर नजारा था।,ఇది ఒక అందమైన దృశ్యం.,ఇది ఒక అందమైన नजारा.
यह बहुत शांत कमरा है.,ఇది చాలా నిశ్శబ్ద గది.,ఇది చాలా शांत గది.
तुम मेरे प्रति बहुत अच्छे रहे हो.,మీరు నాకు చాలా మంచి చేసారు.,మీరు నాకు చాలా మంచి.
हमारे लिए काम करना बहुत गर्म है।,మేము పని చేయడానికి చాలా వేడిగా ఉంది.,మేము పని చాలా వేడి.
इतनी गर्मी थी कि मैंने अपना कोट उतार दिया।,"ఇది చాలా వేడిగా ఉంది, నేను నా కోటు తీసివేసాను.",Lt was so hot that I lowered my coat.
इतनी गर्मी थी कि हम तैरने चले गये।,చాలా వేడిగా ఉంది కాబట్టి మేము ఈతకు వెళ్ళాము.,so hot that we went swimming.
इतनी गर्मी थी कि उसे आइसक्रीम खाने का मन हुआ।,చాలా వేడిగా ఉంది అతనికి ఐస్ క్రీం తినాలనిపించింది.,He liked ice cream so hot.
बहुत गर्मी थी इसलिए मैंने अपना कोट उतार दिया।,చాలా వేడిగా ఉంది కాబట్టి నా కోటు తీసేసాను.,"- LRB - చాలా వేడి ', కాబట్టి నేను నాकोट उतारा."
रात इतनी गर्म थी कि मैं आधी रात तक सो नहीं सका।,"రాత్రి చాలా వేడిగా ఉంది, నేను అర్ధరాత్రి వరకు నిద్రపోలేను.",రాత్రి చాలా వేడి నేను आधी रात तक నిద్ర కాదు.
दिन इतना गर्म था कि हम तैरने चले गये।,"రోజు చాలా వేడిగా ఉంది, మేము ఈతకు వెళ్ళాము.","రోజు చాలా వేడి, మేము ఈత వెళ్ళారు."
अमूल्य चीनी मिट्टी के बर्तन टुकड़ों में बिखर गए।,అమూల్యమైన పింగాణీ పాత్రలు ముక్కలు ముక్కలయ్యాయి.,అసాధారణ चीनी मिट्टी बर्तन टुकड़े बिखरారు
अच्छी और तेज़ बारिश हो रही थी।,మంచి వర్షం కురుస్తోంది.,మంచి మరియు శీఘ్ర बरसడం.
मैं एक बिल्कुल नये व्यक्ति जैसा महसूस कर रहा हूं।,నేను పూర్తిగా కొత్త వ్యక్తిలా భావిస్తున్నాను.,I am an entirely new person.
मैं बहुत प्रभावित हूं.,నేను చాలా ఇంప్రెస్ అయ్యాను.,నేను చాలా प्रभावित.
में हिल गया था।,నేను కదిలిపోయాను.,हिलింది.
मैं सचमुच आपके कार्य की सराहना करता हूं।,నేను మీ పనిని నిజంగా అభినందిస్తున్నాను.,I truly appreciate your work.
मैं बाहर नहीं गया क्योंकि बहुत ठंड थी।,చలి ఎక్కువగా ఉండడంతో నేను బయటకు వెళ్లలేదు.,నేను బయటకు లేదు ఎందుకంటే చాలా చల్లగా.
इतनी ठंड थी कि हमने आग जलाई।,"చాలా చలిగా ఉంది, మేము మంటను వెలిగించాము.",so cold that we set the fire.
इतनी ठंड थी कि कोई भी बाहर जाना नहीं चाहता था।,ఎవరూ బయటకు వెళ్లడానికి ఇష్టపడని విధంగా చలి ఉంది.,. so cold that nobody wanted to go.
इतनी ठंड थी कि मैं सो नहीं सका।,చలికి నిద్ర పట్టదు.,L couldn 't sleep so cold.
इतनी ठंड थी कि मैं सारा दिन घर पर ही रहा।,చలి ఎక్కువై రోజంతా ఇంట్లోనే ఉండిపోయాను.,నేను అన్ని రోజు ఇంటికి so cold.
मुझे बहुत ठंड लग रही है.,నాకు చాలా చలిగా అనిపిస్తుంది.,నేను చాలా చల్లని.
मैंने सचमुच बहुत आनंद उठाया।,నేను నిజంగా చాలా ఆనందించాను.,నేను నిజంగా చాలా ఆనందంగా ఉన్న.
मैंने बहुत अच्छा वक्त बिताया।,నేను అద్భుతమైన సమయాన్ని గడిపాను.,నేను చాలా మంచిసమయం
वह बहुत ही सुखद दोपहर थी।,ఇది చాలా ఆహ్లాదకరమైన మధ్యాహ్నం.,ఇది చాలా सुखद మధ్యాహ్నం
वहाँ बहुत अँधेरा था.,అక్కడ చాలా చీకటిగా ఉంది.,There was too dark.
मेरे पढ़ने के लिए बहुत अंधेरा है।,నేను చదవడానికి చాలా చీకటిగా ఉంది.,- LRB - reading very darkened.
यह सचमुच सस्ता था।,ఇది నిజంగా చౌకగా ఉంది.,ఇదినిజంగాసురభం
मैं ऐसे आदमी की मदद करने में असमर्थ हूं।,అలాంటి వ్యక్తికి నేను సహాయం చేయలేను.,I am unable to help such a man
एक बहुत सुन्दर राजकुमार की मुलाकात एक असाधारण सुन्दर राजकुमारी से हुई।,చాలా అందమైన యువరాజు అసాధారణమైన అందమైన యువరాణిని కలుసుకున్నాడు.,ఒక చాలా అందమైన राजकुमार ఒక అసాధారణమైన राजकुमारी से मुलाकात
मुझे बहुत ठंड लग रही है.,నాకు చాలా చలిగా అనిపిస్తుంది.,నేను చాలా చల్లని.
मैं संभवतः इसका प्रबंध नहीं कर सकता।,నేను దానిని నిర్వహించలేను.,- LRB - I probably can 't manage it.
यह एक सुंदर पोशाक है.,ఇది అందమైన దుస్తులు.,ఇది ఒక అందమైన पोशाक.
यह बहुत सुन्दर था.,చాలా అందంగా ఉంది.,ఇది చాలా అందమైన.
