bn,hi,te,emotion_bn,emotion_hi,emotion_te,semantic_bn_hi,semantic_bn_te,semantic_hi_te
হুগলি জেলার সপ্তগ্রামে দুই ভাই নীলাম্বর ও পীতাম্বর চক্রবর্তী বাস করিত,हुगली जिले का सप्तग्राम-उसमें दो भाई नीलाम्बर व पीताम्बर रहते थे,హుగ్లీ జిల్లాలోని సప్తగ్రామ్-దీనికి ఇద్దరు సోదరులు నీలాంబర్ మరియు పితాంబర్ అక్కడ నివసించేవారు.,0,0,0,0.8120493292808533,0.7882214784622192,0.8838480114936829
"ও অঞ্চলে নীলাম্বরের মত মড়া পোড়াইতে, কীর্তন গাহিতে, খোল বাজাইতে এবং গাঁজা খাইতে কেহ পারিত না","नीलाम्बर मुर्दे जलाने, कीर्तन करने, ढोल बजाने और गांजे का दम भरने में बेजोड़ था","మృతదేహాలను దహనం చేయడంలో, కీర్తనలు చేయడంలో, డ్రమ్స్ వాయించడంలో మరియు గంజాయి కాల్చడంలో నీలాంబర్ సాటిలేనివాడు.",1,0,1,0.6159491539001465,0.5672365427017212,0.8154031038284302
তাহার উন্নত গৌরবর্ণ দেহে অসাধারণ শক্তি ছিল,"उसका कद लम्बा, बदन गोरा, बहुत ही चुस्त, फुर्तीला तथा ताकतवर था","అతను పొడవైనవాడు, తెల్లని చర్మం గలవాడు, చాలా చురుకైనవాడు, చురుకైనవాడు మరియు బలవంతుడు.",0,0,0,0.6027777194976807,0.4701891541481018,0.8346309661865234
"গ্রামের মধ্যে পরোপকারী বলিয়া তাহার যেমন খ্যাতি ছিল,",दूसरों के उपकार के मामले में उसकी ख्याति बहुत थी,ఇతరులకు సహాయం చేయడంలో అతనికి గొప్ప పేరు ఉంది,0,2,0,0.44233280420303345,0.4060324430465698,0.7420095205307007
গোঁয়ার বলিয়া তেমনই একটা অখ্যাতিও ছিল,गंवारपन में भी वह गाँव-भर में बदनाम था,అతను తన గ్రామీణ స్వభావానికి మొత్తం గ్రామంలో అపఖ్యాతి పాలయ్యాడు.,0,2,1,0.41737714409828186,0.2080286592245102,0.6663895845413208
কিন্তু ছোটভাই পীতাম্বর সম্পূর্ণ ভিন্ন প্রকৃতির লোক,मगर उसका छोटा भाई पीताम्बर उसके विपरीत था,కానీ అతని తమ్ముడు పితాంబర్ అతనికి వ్యతిరేకం.,0,1,2,0.6626285910606384,0.60746830701828,0.8925878405570984
সে খর্বকায় এবং কৃশ,वह दुर्बल तथा नाटे कद का था,అతను బలహీనంగా మరియు ఎత్తు తక్కువగా ఉన్నాడు,2,2,1,0.7659709453582764,0.7134097218513489,0.7844777703285217
মানুষ মরিয়াছে শুনিলেই তাহার সন্ধ্যার পর গা ছম্‌ছম্ করিত,शाम के बाद किसी के मरने का समाचार सुनकर उसका शरीर अजीब-सा हो जाता था,"సాయంత్రం తర్వాత, ఎవరి మరణ వార్త విన్నప్పుడు, అతని శరీరం వింతగా అనిపించడం ప్రారంభిస్తుంది.",1,1,1,0.7553383111953735,0.6262832283973694,0.885267436504364
"দাদার মত অমন মূর্খও নয়,",वह अपने भाई जैसा मूर्ख ही नहीं था,అతను తన సోదరుడిలా తెలివితక్కువవాడు కాదు,2,2,2,0.6527097821235657,0.6725692749023438,0.9216374158859253
গোঁয়ারতুমির ধার দিয়াও সে চলিত না,तथा मूर्खता की कोई बात भी उसमें नहीं थी,మరియు దానిలో మూర్ఖత్వం ఏమీ లేదు,2,2,2,0.3558911085128784,0.3043563961982727,0.9194885492324829
সকালবেলা ভাত খাইয়া দপ্তর বগলে করিয়া হুগলির আদালতের পশ্চিম দিকের একটা গাছতলায় গিয়া বসিত,"सवेरे ही वह भोजन करके अपना बस्ता लेकर अदालत चला जाता था, पश्चिमी तरफ एक आम के पेड़ के नीचे बैठकर वह दिनभर अर्जियां लिखा करता था","ఉదయం, అల్పాహారం తిన్న తర్వాత, అతను తన బ్యాగ్ తీసుకొని కోర్టుకు వెళ్ళేవాడు. అతను పడమర వైపున ఉన్న మామిడి చెట్టు కింద కూర్చుని రోజంతా దరఖాస్తులు రాసేవాడు.",3,2,0,0.5989699363708496,0.5560760498046875,0.8669290542602539
যা উপার্জন করিত বাড়ি ফিরিয়া সেগুলি বাক্সে বন্ধ করিয়া ফেলিত,"वह जो कुछ भी कमाता था, उसे घर आकर सन्दूक में बंद कर देता था","అతను ఎంత సంపాదించినా, ఇంటికి వచ్చి దాన్ని ఒక పెట్టెలో వేసి తాళం వేసేవాడు.",1,2,0,0.7847951054573059,0.6981264352798462,0.7630037665367126
রাত্রে ঘরের দরজা-জানালা স্বহস্তে বন্ধ করিত,रात को सारे दरवाजे-खिड़कियां बन्द कर,రాత్రిపూట అన్ని తలుపులు మరియు కిటికీలను మూసివేయండి,3,2,2,0.7794944643974304,0.7394119501113892,0.9407770037651062
এবং পুন:পুন: পরীক্ষা করাইয়া লইয়া তবে ঘুমাইত,और उनकी कई बार जाँच करने के बाद वह सोता था,మరియు వాటిని చాలాసార్లు తనిఖీ చేసిన తర్వాత అతను నిద్రపోయేవాడు,1,1,1,0.7037643790245056,0.6975435018539429,0.9572693109512329
"আজ সকালে নীলাম্বর চন্ডীমণ্ডপের একধারে বসিয়া তামাক খাইতেছিল,",आज सवेरे नीलाम्बर चण्डी-मण्डप में बैठा हुक्का पी रहा था,ఈ ఉదయం నీలాంబర్ చండీ-మండపంలో కూర్చుని హుక్కా తాగుతున్నాడు.,3,0,0,0.821381151676178,0.7756105065345764,0.8250360488891602
তাহার অনূঢ়া ভগিনী হরিমতি নি:শব্দে আসিয়া পিঠের কাছে হাঁটু গাড়িয়া বসিয়া দাদার পিঠে মুখ লুকাইয়া কাঁদিতে লাগিল,इसी समय उसकी छोटी अविवाहित बहन हरिमती उसकी पीठ के पीछे आकर रोने लगी,"ఈ సమయంలో అతని చెల్లెలు, అవివాహిత హరిమతి అతని వెనుకకు వచ్చి ఏడవడం ప్రారంభించింది.",3,1,1,0.5383390188217163,0.5034149289131165,0.9109913110733032
