source,reference,m2m100
मुझे बहुत बुखार सा लग रहा है.,నాకు చాలా జ్వరంగా అనిపిస్తుంది.,
यह बहुत अच्छा दिन था.,ఇది చాలా మంచి రోజు.,
यह अच्छा और गर्म है.,ఇది బాగుంది మరియు వెచ్చగా ఉంది.,
वे बहुत बड़े हैं.,అవి చాలా పెద్దవి.,
यह एक सुंदर नजारा था।,ఇది ఒక అందమైన దృశ్యం.,
यह बहुत शांत कमरा है.,ఇది చాలా నిశ్శబ్ద గది.,
तुम मेरे प्रति बहुत अच्छे रहे हो.,మీరు నాకు చాలా మంచి చేసారు.,
हमारे लिए काम करना बहुत गर्म है।,మేము పని చేయడానికి చాలా వేడిగా ఉంది.,
इतनी गर्मी थी कि मैंने अपना कोट उतार दिया।,"ఇది చాలా వేడిగా ఉంది, నేను నా కోటు తీసివేసాను.",
इतनी गर्मी थी कि हम तैरने चले गये।,చాలా వేడిగా ఉంది కాబట్టి మేము ఈతకు వెళ్ళాము.,
इतनी गर्मी थी कि उसे आइसक्रीम खाने का मन हुआ।,చాలా వేడిగా ఉంది అతనికి ఐస్ క్రీం తినాలనిపించింది.,
बहुत गर्मी थी इसलिए मैंने अपना कोट उतार दिया।,చాలా వేడిగా ఉంది కాబట్టి నా కోటు తీసేసాను.,
रात इतनी गर्म थी कि मैं आधी रात तक सो नहीं सका।,"రాత్రి చాలా వేడిగా ఉంది, నేను అర్ధరాత్రి వరకు నిద్రపోలేను.",
दिन इतना गर्म था कि हम तैरने चले गये।,"రోజు చాలా వేడిగా ఉంది, మేము ఈతకు వెళ్ళాము.",
अमूल्य चीनी मिट्टी के बर्तन टुकड़ों में बिखर गए।,అమూల్యమైన పింగాణీ పాత్రలు ముక్కలు ముక్కలయ్యాయి.,
अच्छी और तेज़ बारिश हो रही थी।,మంచి వర్షం కురుస్తోంది.,
मैं एक बिल्कुल नये व्यक्ति जैसा महसूस कर रहा हूं।,నేను పూర్తిగా కొత్త వ్యక్తిలా భావిస్తున్నాను.,
मैं बहुत प्रभावित हूं.,నేను చాలా ఇంప్రెస్ అయ్యాను.,
में हिल गया था।,నేను కదిలిపోయాను.,
मैं सचमुच आपके कार्य की सराहना करता हूं।,నేను మీ పనిని నిజంగా అభినందిస్తున్నాను.,
मैं बाहर नहीं गया क्योंकि बहुत ठंड थी।,చలి ఎక్కువగా ఉండడంతో నేను బయటకు వెళ్లలేదు.,
इतनी ठंड थी कि हमने आग जलाई।,"చాలా చలిగా ఉంది, మేము మంటను వెలిగించాము.",
इतनी ठंड थी कि कोई भी बाहर जाना नहीं चाहता था।,ఎవరూ బయటకు వెళ్లడానికి ఇష్టపడని విధంగా చలి ఉంది.,
इतनी ठंड थी कि मैं सो नहीं सका।,చలికి నిద్ర పట్టదు.,
इतनी ठंड थी कि मैं सारा दिन घर पर ही रहा।,చలి ఎక్కువై రోజంతా ఇంట్లోనే ఉండిపోయాను.,
मुझे बहुत ठंड लग रही है.,నాకు చాలా చలిగా అనిపిస్తుంది.,
मैंने सचमुच बहुत आनंद उठाया।,నేను నిజంగా చాలా ఆనందించాను.,
मैंने बहुत अच्छा वक्त बिताया।,నేను అద్భుతమైన సమయాన్ని గడిపాను.,
वह बहुत ही सुखद दोपहर थी।,ఇది చాలా ఆహ్లాదకరమైన మధ్యాహ్నం.,
वहाँ बहुत अँधेरा था.,అక్కడ చాలా చీకటిగా ఉంది.,
मेरे पढ़ने के लिए बहुत अंधेरा है।,నేను చదవడానికి చాలా చీకటిగా ఉంది.,
यह सचमुच सस्ता था।,ఇది నిజంగా చౌకగా ఉంది.,
मैं ऐसे आदमी की मदद करने में असमर्थ हूं।,అలాంటి వ్యక్తికి నేను సహాయం చేయలేను.,
एक बहुत सुन्दर राजकुमार की मुलाकात एक असाधारण सुन्दर राजकुमारी से हुई।,చాలా అందమైన యువరాజు అసాధారణమైన అందమైన యువరాణిని కలుసుకున్నాడు.,
मुझे बहुत ठंड लग रही है.,నాకు చాలా చలిగా అనిపిస్తుంది.,
मैं संभवतः इसका प्रबंध नहीं कर सकता।,నేను దానిని నిర్వహించలేను.,
यह एक सुंदर पोशाक है.,ఇది అందమైన దుస్తులు.,
यह बहुत सुन्दर था.,చాలా అందంగా ఉంది.,
मुझे बहुत अजीब लगा.,నాకు చాలా వింతగా అనిపించింది.,
मैं इतना भूखा हूँ कि एक घोड़ा भी खा सकता हूँ।,"నాకు చాలా ఆకలిగా ఉంది, నేను గుర్రాన్ని తినగలను.",
मैं भालू जितना भूखा हूं।,నేను ఎలుగుబంటిలా ఆకలితో ఉన్నాను.,
मुझे भूख लगी थी।,నాకు ఆకలిగా ఉంది.,
मेरे पास पैसे बहुत कम है.,నా దగ్గర చాలా తక్కువ డబ్బు ఉంది.,
इसका स्वाद बहुत अच्छा है.,ఇది చాలా రుచిగా ఉంటుంది.,
यह एक रोमांचक खेल था.,ఇది ఒక ఉత్తేజకరమైన గేమ్.,
स्वाद बढ़िया है।,ఇది చాలా రుచిగా ఉంటుంది.,
इसकी खुशबू बहुत अच्छी थी.,దాని వాసన చాలా బాగుంది.,
यहाँ धूप इतनी अधिक है कि अन्दर रहना सम्भव नहीं है।,లోపల ఉండడానికి వీలులేనంతగా ఇక్కడ ఎండలు తీవ్రంగా ఉన్నాయి.,
यह बहुत अच्छा है.,ఇది చాలా బాగుంది.,
"बहुत गर्मी है, है न?","ఇది చాలా వేడిగా ఉంది, కాదా?",
