source,reference,mbart50
আমার খুব জ্বর লাগছে।,నాకు చాలా జ్వరంగా అనిపిస్తుంది.,నేను చాలా ద్వేషం.
এটি একটি খুব ভাল দিন ছিল.,ఇది చాలా మంచి రోజు.,ఇది ఒక very good day.
এটা চমৎকার এবং উষ্ণ.,ఇది బాగుంది మరియు వెచ్చగా ఉంది.,ఇది চমৎকার మరియు উత.
তারা অনেক বড়।,అవి చాలా పెద్దవి.,వారు చాలా పెద్దది.
এটি একটি সুন্দর দৃশ্য ছিল.,ఇది ఒక అందమైన దృశ్యం.,This was a great event.
এটি একটি খুব শান্ত ঘর.,ఇది చాలా నిశ్శబ్ద గది.,This is a very fancy room.
আপনি আমার সাথে খুব ভাল ব্যবহার করেছেন.,మీరు నాకు చాలా మంచి చేసారు.,మీరు నాతో very nice cooperation.
আমাদের কাজ করার জন্য এটি খুব গরম।,మేము పని చేయడానికి చాలా వేడిగా ఉంది.,ఇది చాలా వేడి రోజు our work Friday.
এত গরম যে আমি আমার কোট খুলে ফেললাম।,"ఇది చాలా వేడిగా ఉంది, నేను నా కోటు తీసివేసాను.",- so hot that I unveiled my coat.
এটা এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,చాలా వేడిగా ఉంది కాబట్టి మేము ఈతకు వెళ్ళాము.,ఇది తద్వారా গরম ఉంది మేము త్రాగడానికి వెళ్ళింది.
এত গরম যে তার মনে হলো আইসক্রিম খাচ্ছে।,చాలా వేడిగా ఉంది అతనికి ఐస్ క్రీం తినాలనిపించింది.,Heat so hot that he thought I had to eat ice cream.
খুব গরম তাই আমি আমার কোট খুলে ফেললাম।,చాలా వేడిగా ఉంది కాబట్టి నా కోటు తీసేసాను.,చాలా গরম তাই నేను నా కోట్ టేకాఫ్.
রাতে এত গরম যে মধ্যরাত পর্যন্ত ঘুমাতে পারিনি।,"రాత్రి చాలా వేడిగా ఉంది, నేను అర్ధరాత్రి వరకు నిద్రపోలేను.",నైట్ so hot that I could not sleep at night.
দিনটি এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,"రోజు చాలా వేడిగా ఉంది, మేము ఈతకు వెళ్ళాము.",రోజు కనుక వేడిగా నేను త్రాగడానికి వెళ్ళాను.
অমূল্য চীনামাটির বাসন টুকরো টুকরো হয়ে গেছে।,అమూల్యమైన పింగాణీ పాత్రలు ముక్కలు ముక్కలయ్యాయి.,కోర్సు యొక్క Chinese liver into the liver.
এটা সুন্দর এবং কঠিন বৃষ্টি ছিল.,మంచి వర్షం కురుస్తోంది.,It was a great and difficult week.
আমি সম্পূর্ণ নতুন মানুষ মনে হয়.,నేను పూర్తిగా కొత్త వ్యక్తిలా భావిస్తున్నాను.,I think Iraqi newcomer.
আমি খুব মুগ্ধ.,నేను చాలా ఇంప్రెస్ అయ్యాను.,I was very humbled.
আমি সরানো ছিল.,నేను కదిలిపోయాను.,I've been taken.
আমি সত্যিই আপনার কাজের প্রশংসা.,నేను మీ పనిని నిజంగా అభినందిస్తున్నాను.,నేను ID కొన్ని work.
খুব ঠাণ্ডা থাকায় বাইরে যাইনি।,చలి ఎక్కువగా ఉండడంతో నేను బయటకు వెళ్లలేదు.,మీరు ప్రియమైన ఉన్నాయి.
এত ঠান্ডা যে আমরা আগুন জ্বালালাম।,"చాలా చలిగా ఉంది, మేము మంటను వెలిగించాము.",Lions so hot that we set fire.
এত ঠাণ্ডা যে কেউ বাইরে যেতে চাইছিল না।,ఎవరూ బయటకు వెళ్లడానికి ఇష్టపడని విధంగా చలి ఉంది.,ఎవరు వలె అవుట్ త్రాగడం.
