source,reference,m2m100
আমার খুব জ্বর লাগছে।,నాకు చాలా జ్వరంగా అనిపిస్తుంది.,
এটি একটি খুব ভাল দিন ছিল.,ఇది చాలా మంచి రోజు.,
এটা চমৎকার এবং উষ্ণ.,ఇది బాగుంది మరియు వెచ్చగా ఉంది.,
তারা অনেক বড়।,అవి చాలా పెద్దవి.,
এটি একটি সুন্দর দৃশ্য ছিল.,ఇది ఒక అందమైన దృశ్యం.,
এটি একটি খুব শান্ত ঘর.,ఇది చాలా నిశ్శబ్ద గది.,
আপনি আমার সাথে খুব ভাল ব্যবহার করেছেন.,మీరు నాకు చాలా మంచి చేసారు.,
আমাদের কাজ করার জন্য এটি খুব গরম।,మేము పని చేయడానికి చాలా వేడిగా ఉంది.,
এত গরম যে আমি আমার কোট খুলে ফেললাম।,"ఇది చాలా వేడిగా ఉంది, నేను నా కోటు తీసివేసాను.",
এটা এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,చాలా వేడిగా ఉంది కాబట్టి మేము ఈతకు వెళ్ళాము.,
এত গরম যে তার মনে হলো আইসক্রিম খাচ্ছে।,చాలా వేడిగా ఉంది అతనికి ఐస్ క్రీం తినాలనిపించింది.,
খুব গরম তাই আমি আমার কোট খুলে ফেললাম।,చాలా వేడిగా ఉంది కాబట్టి నా కోటు తీసేసాను.,
রাতে এত গরম যে মধ্যরাত পর্যন্ত ঘুমাতে পারিনি।,"రాత్రి చాలా వేడిగా ఉంది, నేను అర్ధరాత్రి వరకు నిద్రపోలేను.",
দিনটি এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,"రోజు చాలా వేడిగా ఉంది, మేము ఈతకు వెళ్ళాము.",
অমূল্য চীনামাটির বাসন টুকরো টুকরো হয়ে গেছে।,అమూల్యమైన పింగాణీ పాత్రలు ముక్కలు ముక్కలయ్యాయి.,
এটা সুন্দর এবং কঠিন বৃষ্টি ছিল.,మంచి వర్షం కురుస్తోంది.,
আমি সম্পূর্ণ নতুন মানুষ মনে হয়.,నేను పూర్తిగా కొత్త వ్యక్తిలా భావిస్తున్నాను.,
