source,reference,mbart50
আমার খুব জ্বর লাগছে।,मुझे बहुत बुखार सा लग रहा है.,मैं बहुत दुखी हूँ।
এটি একটি খুব ভাল দিন ছিল.,यह बहुत अच्छा दिन था.,यह एक बहुत अच्छा दिन था.
এটা চমৎকার এবং উষ্ণ.,यह अच्छा और गर्म है.,यह अच्छा और अच्छा है।
তারা অনেক বড়।,वे बहुत बड़े हैं.,वे बहुत बड़े हैं।
এটি একটি সুন্দর দৃশ্য ছিল.,यह एक सुंदर नजारा था।,It was a wonderful trip.
এটি একটি খুব শান্ত ঘর.,यह बहुत शांत कमरा है.,यह एक बहुत बड़ा घर है.
আপনি আমার সাথে খুব ভাল ব্যবহার করেছেন.,तुम मेरे प्रति बहुत अच्छे रहे हो.,You have been very good with me.
আমাদের কাজ করার জন্য এটি খুব গরম।,हमारे लिए काम करना बहुत गर्म है।,यह बहुत गर्म है जब हम काम करते हैं.
এত গরম যে আমি আমার কোট খুলে ফেললাম।,इतनी गर्मी थी कि मैंने अपना कोट उतार दिया।,यह इतना गर्म था कि मैंने अपना कुर्ता खोल दिया।
এটা এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,इतनी गर्मी थी कि हम तैरने चले गये।,यह इतना गर्म था कि हम सहन कर रहे थे।
এত গরম যে তার মনে হলো আইসক্রিম খাচ্ছে।,इतनी गर्मी थी कि उसे आइसक्रीम खाने का मन हुआ।,यह इतनी गर्म थी कि उसने Icelandic foods eaten.
খুব গরম তাই আমি আমার কোট খুলে ফেললাম।,बहुत गर्मी थी इसलिए मैंने अपना कोट उतार दिया।,"वह बहुत गर्म था, इसलिए मैं अपना कुर्ता उतारा।"
রাতে এত গরম যে মধ্যরাত পর্যন্ত ঘুমাতে পারিনি।,रात इतनी गर्म थी कि मैं आधी रात तक सो नहीं सका।,रात इतनी गर्म थी कि मैं रात को सो नहीं पाता.
দিনটি এত গরম ছিল যে আমরা সাঁতার কাটতে গিয়েছিলাম।,दिन इतना गर्म था कि हम तैरने चले गये।,एक दिन इतना गर्म था कि हम साटें जा रहे थे।
অমূল্য চীনামাটির বাসন টুকরো টুকরো হয়ে গেছে।,अमूल्य चीनी मिट्टी के बर्तन टुकड़ों में बिखर गए।,बेशक चीन का असली बाज़ार बन गया।
এটা সুন্দর এবং কঠিন বৃষ্টি ছিল.,अच्छी और तेज़ बारिश हो रही थी।,It was a wonderful and difficult week.
আমি সম্পূর্ণ নতুন মানুষ মনে হয়.,मैं एक बिल्कुल नये व्यक्ति जैसा महसूस कर रहा हूं।,I think there's a new group.
আমি খুব মুগ্ধ.,मैं बहुत प्रभावित हूं.,मैं बहुत कमजोर था.
আমি সরানো ছিল.,में हिल गया था।,मैं अकड़ गया था.
আমি সত্যিই আপনার কাজের প্রশংসা.,मैं सचमुच आपके कार्य की सराहना करता हूं।,I really appreciate your work.
খুব ঠাণ্ডা থাকায় বাইরে যাইনি।,मैं बाहर नहीं गया क्योंकि बहुत ठंड थी।,"नहीं, वह बहुत थका हुआ था।"
এত ঠান্ডা যে আমরা আগুন জ্বালালাম।,इतनी ठंड थी कि हमने आग जलाई।,यह इतनी गर्म थी कि हमने आग जला दी।
এত ঠাণ্ডা যে কেউ বাইরে যেতে চাইছিল না।,इतनी ठंड थी कि कोई भी बाहर जाना नहीं चाहता था।,यह इतनी भारी थी कि कोई बाहर नहीं जाना चाहता।
এত ঠান্ডা যে ঘুমাতে পারছিলাম না।,इतनी ठंड थी कि मैं सो नहीं सका।,बहुत ठंडा था कि मैं नहीं जा सकता था।
এত ঠান্ডা যে সারাদিন ঘরেই ছিলাম।,इतनी ठंड थी कि मैं सारा दिन घर पर ही रहा।,इतनी बुरी कि मैं पूरे दिन घर रह गया।
আমার খুব ঠান্ডা লাগছে।,मुझे बहुत ठंड लग रही है.,मुझे बुढ़ापा है।
আমি সত্যিই এটা অনেক উপভোগ.,मैंने सचमुच बहुत आनंद उठाया।,I have been very happy.
আমি একটি চমৎকার সময় ছিল.,मैंने बहुत अच्छा वक्त बिताया।,मैं एक महान समय था.
এটি একটি খুব মনোরম বিকেল ছিল.,वह बहुत ही सुखद दोपहर थी।,यह एक बहुत तेज़কেল था.
সেখানে খুব অন্ধকার ছিল।,वहाँ बहुत अँधेरा था.,वह बहुत गरीब था.
